"GREEN_HOUSE_GASES","Greenhouse gases","PLASTIC_STAGE","Plastics lifecycle stage","TIME","Time","Value","Flag Codes","Flags"
"ALLGHG","All greenhouse gases","PROD_CON","Production & Conversion","2015","2015",1502.62,,
"ALLGHG","All greenhouse gases","PROD_CON","Production & Conversion","2016","2016",1506.13,,
"ALLGHG","All greenhouse gases","PROD_CON","Production & Conversion","2017","2017",1522.93,,
"ALLGHG","All greenhouse gases","PROD_CON","Production & Conversion","2018","2018",1558.63,,
"ALLGHG","All greenhouse gases","PROD_CON","Production & Conversion","2019","2019",1595.39,,
"ALLGHG","All greenhouse gases","EOL","End-of-life","2015","2015",162.06,,
"ALLGHG","All greenhouse gases","EOL","End-of-life","2016","2016",170.45,,
"ALLGHG","All greenhouse gases","EOL","End-of-life","2017","2017",179.13,,
"ALLGHG","All greenhouse gases","EOL","End-of-life","2018","2018",188.1,,
"ALLGHG","All greenhouse gases","EOL","End-of-life","2019","2019",193.12,,
"ALLGHG","All greenhouse gases","TOTAL","All lifecycle stages","2015","2015",1664.68,,
"ALLGHG","All greenhouse gases","TOTAL","All lifecycle stages","2016","2016",1676.59,,
"ALLGHG","All greenhouse gases","TOTAL","All lifecycle stages","2017","2017",1702.06,,
"ALLGHG","All greenhouse gases","TOTAL","All lifecycle stages","2018","2018",1746.73,,
"ALLGHG","All greenhouse gases","TOTAL","All lifecycle stages","2019","2019",1788.51,,
"CH4","CH4","PROD_CON","Production & Conversion","2015","2015",139.03,,
"CH4","CH4","PROD_CON","Production & Conversion","2016","2016",139.59,,
"CH4","CH4","PROD_CON","Production & Conversion","2017","2017",141.59,,
"CH4","CH4","PROD_CON","Production & Conversion","2018","2018",145.22,,
"CH4","CH4","PROD_CON","Production & Conversion","2019","2019",148.81,,
"CH4","CH4","EOL","End-of-life","2015","2015",9.12,,
"CH4","CH4","EOL","End-of-life","2016","2016",9.39,,
"CH4","CH4","EOL","End-of-life","2017","2017",9.65,,
"CH4","CH4","EOL","End-of-life","2018","2018",9.91,,
"CH4","CH4","EOL","End-of-life","2019","2019",10.21,,
"CH4","CH4","TOTAL","All lifecycle stages","2015","2015",148.15,,
"CH4","CH4","TOTAL","All lifecycle stages","2016","2016",148.98,,
"CH4","CH4","TOTAL","All lifecycle stages","2017","2017",151.24,,
"CH4","CH4","TOTAL","All lifecycle stages","2018","2018",155.13,,
"CH4","CH4","TOTAL","All lifecycle stages","2019","2019",159.01,,
"CO2","CO2","PROD_CON","Production & Conversion","2015","2015",1351.81,,
"CO2","CO2","PROD_CON","Production & Conversion","2016","2016",1354.71,,
"CO2","CO2","PROD_CON","Production & Conversion","2017","2017",1369.35,,
"CO2","CO2","PROD_CON","Production & Conversion","2018","2018",1401.17,,
"CO2","CO2","PROD_CON","Production & Conversion","2019","2019",1434.01,,
"CO2","CO2","EOL","End-of-life","2015","2015",151.28,,
"CO2","CO2","EOL","End-of-life","2016","2016",159.3,,
"CO2","CO2","EOL","End-of-life","2017","2017",167.62,,
"CO2","CO2","EOL","End-of-life","2018","2018",176.23,,
"CO2","CO2","EOL","End-of-life","2019","2019",180.9,,
"CO2","CO2","TOTAL","All lifecycle stages","2015","2015",1503.09,,
"CO2","CO2","TOTAL","All lifecycle stages","2016","2016",1514.01,,
"CO2","CO2","TOTAL","All lifecycle stages","2017","2017",1536.98,,
"CO2","CO2","TOTAL","All lifecycle stages","2018","2018",1577.4,,
"CO2","CO2","TOTAL","All lifecycle stages","2019","2019",1614.91,,
"N2O","N2O","PROD_CON","Production & Conversion","2015","2015",11.78,,
"N2O","N2O","PROD_CON","Production & Conversion","2016","2016",11.84,,
"N2O","N2O","PROD_CON","Production & Conversion","2017","2017",11.99,,
"N2O","N2O","PROD_CON","Production & Conversion","2018","2018",12.25,,
"N2O","N2O","PROD_CON","Production & Conversion","2019","2019",12.57,,
"N2O","N2O","EOL","End-of-life","2015","2015",1.66,,
"N2O","N2O","EOL","End-of-life","2016","2016",1.76,,
"N2O","N2O","EOL","End-of-life","2017","2017",1.86,,
"N2O","N2O","EOL","End-of-life","2018","2018",1.96,,
"N2O","N2O","EOL","End-of-life","2019","2019",2.01,,
"N2O","N2O","TOTAL","All lifecycle stages","2015","2015",13.44,,
"N2O","N2O","TOTAL","All lifecycle stages","2016","2016",13.59,,
"N2O","N2O","TOTAL","All lifecycle stages","2017","2017",13.84,,
"N2O","N2O","TOTAL","All lifecycle stages","2018","2018",14.2,,
"N2O","N2O","TOTAL","All lifecycle stages","2019","2019",14.58,,
